"","Title","Author","Summary","Link"
"52","Save $30 on Canon IVY Mobile Mini Photo Printer","By Mashable Staff","The Canon IVY mobile mini photo printer, which lets you print 2-by-3-inch photos from your phone and social media, is 22 percent off at Amazon. Grab it now for just $99.99.","https://www.pcmag.com/deals/save-30-on-canon-ivy-mobile-mini-photo-printer"
"53","Epson EcoTank ET-M3170 Wireless Monochrome All-in-One Supertank Printer Review","By William Harrel","The Epson ET-M3170 all-in-one monochrome inkjet prints and copies well, at exceptionally low running costs, making it an excellent choice for busy small offices.","https://www.pcmag.com/reviews/epson-ecotank-et-m3170-wireless-monochrome-all-in-one-supertank-printer"
"54","Epson WorkForce Pro EC-4040 Color Multifunction Printer Review","By William Harrel","The Epson WorkForce Pro EC-4040 color inkjet AIO prints well and with reasonable running costs, making it a sound investment for small offices with medium-volume print and copy requirements.","https://www.pcmag.com/reviews/epson-workforce-pro-ec-4040-color-multifunction-printer"
"55","Epson EcoTank ET-4760 All-In-One Printer Review","By William Harrel","The Epson EcoTank ET-4760 is an excellent multifunction color printer for small offices that don't want to sacrifice features to get low long-term running costs.","https://www.pcmag.com/reviews/epson-ecotank-et-4760-all-in-one-printer"
"56","Brother MFC-J805DW INKvestment Tank All-In-One Printer Review","By William Harrel","The Brother MFC-J805DW is an entry-level office-oriented inkjet AIO that prints well overall and costs a lot less to use than many of its competitors.","https://www.pcmag.com/reviews/brother-mfc-j805dw-inkvestment-tank-all-in-one-printer"
"57","5 Innovations to Consider When Buying a Business Printer","By Gadjo Sevilla","Today's business printers have adopted exciting features offered by automation, cloud computing, and mobile app technologies. Here are some of the latest features to look for when deciding on your next business printer.","https://www.pcmag.com/news/5-innovations-to-consider-when-buying-a-business-printer"
"58","Readers' Choice Awards 2019: Printers ","By Ben Gottesman","If you want new printer, there's only one manufacturer to consider—the same printer maker PCMag readers have rated the very best for more than a decade.","https://www.pcmag.com/news/readers-choice-awards-2019-printers"
"59","Business Choice Awards 2019: Printers ","By Eric Griffith","Brother International has long dominated PCMag's Business Choice Awards for printers, but this year it's joined by another top contender.","https://www.pcmag.com/news/business-choice-awards-2019-printers"
"60","How to Share Files and Printers in Windows","By Lance Whitney","You can network your Windows 10 PCs and tablets to share files and printers. Windows 7 and 8.1 users can still use homegroups.","https://www.pcmag.com/how-to/how-to-share-files-and-printers-in-windows"
"61","Epson WorkForce ST-3000 EcoTank Color MFP Supertank Printer Review","By William Harrel","The Epson WorkForce ST-3000 prints well and at the lowest running costs available on the entry-level business-oriented all-in-one market, but it requires sacrificing features, capacity, and volume.","https://www.pcmag.com/reviews/epson-workforce-st-3000-ecotank-color-mfp-supertank-printer"
"62","HP OfficeJet Pro Premier All-in-One Printer Review","By William Harrel","The HP OfficeJet Pro Premier is a compact and stylish inkjet all-in-one that produces quality output and comes with two years worth of ink.","https://www.pcmag.com/reviews/hp-officejet-pro-premier-all-in-one-printer"
"63","Epson WorkForce ST-2000 EcoTank Color MFP Supertank Printer Review","By William Harrel","The Epson WorkForce ST-2000 is a small-office inkjet all-in-one that prints well and is inexpensive to use, as long as its lack of an ADF isn't a deal-breaker.","https://www.pcmag.com/reviews/epson-workforce-st-2000-ecotank-color-mfp-supertank-printer"
"64","Epson Expression Premium XP-6100 Small-in-One Printer Review","By William Harrel","The Epson Expression Premium XP-6100 is a small but capable inkjet photo all-in-one designed for light-duty home and small office printing and copying.","https://www.pcmag.com/reviews/epson-expression-premium-xp-6100-small-in-one-printer"
"65","Epson WorkForce Pro WF-3733 All-in-One Printer Review","By William Harrel","The Epson WorkForce Pro WF-3733 prints well and it comes with an unusually high paper capacity for its price, but high running costs make this all-in-one printer more sensible for low-volume environments.","https://www.pcmag.com/reviews/epson-workforce-pro-wf-3733-all-in-one-printer"
"66","HP OfficeJet Pro 9015 All-in-One Printer Review","By William Harrel","HP's OfficeJet Pro 9015 All-in-One Printer churns out quality output at a low cost per page, making it a good value for small offices with light- to medium-duty copy and print volume requirements.","https://www.pcmag.com/reviews/hp-officejet-pro-9015-all-in-one-printer"
"67","Save Big on HP Tango, Sprocket Printer Bundle Today","By Angela Moscaritolo","Designed to work primarily with mobile devices, the Tango is one of the first printers to feature voice control. The portable Sprocket, meanwhile, lets you print photos from your phone. ","https://www.pcmag.com/deals/save-big-on-hp-tango-sprocket-printer-bundle-today"
"68","Monoprice Voxel 3D Printer Review","By Tony Hoffman","The Monoprice Voxel is an under-$400 3D printer that's easy to set up and use. It exhibits generally good print quality, but it was unable to print two of our test objects.","https://www.pcmag.com/reviews/monoprice-voxel-3d-printer"
"69","Brother MFC-J6545DW INKvestment Tank All-In-One Printer Review","By William Harrel","The Brother MFC-J6545DW is a tabloid-size color inkjet all-in-one printer that churns out good-looking output at a fast clip, making it a great value for small offices.","https://www.pcmag.com/reviews/brother-mfc-j6545dw-inkvestment-tank-all-in-one-printer"
"70","Hacker Beats Galaxy S10 Fingerprint Scanner With 3D Printer","By Angela Moscaritolo","An anonymous researcher says they successfully created a 3D-printed fingerprint that unlocks their Galaxy S10 'in some cases just as well as my actual finger.'","https://www.pcmag.com/news/hacker-beats-galaxy-s10-fingerprint-scanner-with-3d-printer"
"71","Epson WorkForce ST-4000 EcoTank Color MFP Supertank Printer Review","By William Harrel","While expensive, the Epson WorkForce ST-4000 all-in-one printer's exceptionally low ink costs make it a worthy investment for small offices.","https://www.pcmag.com/reviews/epson-workforce-st-4000-ecotank-color-mfp-supertank-printer"
"72","Brother MFC-J5945DW INKvestment Tank All-In-One Printer Review","By William Harrel","The feature-rich Brother MFC-J5945DW is a wide-format inkjet AIO that produces good-looking documents at a very reasonable cost per page.","https://www.pcmag.com/reviews/brother-mfc-j5945dw-inkvestment-tank-all-in-one-printer"
"73","Epson WorkForce Pro WF-M5299 Monochrome Printer Review","By William Harrel","An entry-level monochrome inkjet printer, the Epson WorkForce Pro WF-M5299 prints well and is very inexpensive to use, making it an exceptional value for small- to medium-size offices.","https://www.pcmag.com/reviews/epson-workforce-pro-wf-m5299-monochrome-printer"
"74","HP OfficeJet Pro 9025 All-in-One Printer Review","By William Harrel","HP's stylish and compact OfficeJet Pro 9025 prints well at a competitive cost per page, making it a good value as a small office all-in-one printer. ","https://www.pcmag.com/reviews/hp-officejet-pro-9025-all-in-one-printer"
"75","Dremel DigiLab 3D40 Flex 3D Printer Review","By Tony Hoffman","Dremel's easy-to-use DigiLab 3D40 Flex 3D Printer has user-friendly software, good output quality, and a wide mix of connectivity options. It's a fine choice for classroom use.","https://www.pcmag.com/reviews/dremel-digilab-3d40-flex-3d-printer"
"76","Epson Expression Premium XP-7100 Small-in-One Printer Review","By William Harrel","The Epson Expression Premium XP-7100 is a small but capable photo-centric all-in-one inkjet for homes and small offices.","https://www.pcmag.com/reviews/epson-expression-premium-xp-7100-small-in-one-printer"
"77","Epson WorkForce Pro WF-C5290 Network Color Printer Review","By William Harrel","The medium-duty Epson WorkForce Pro WF-C5290 inkjet printer is loaded with high-end features at a low-end price.","https://www.pcmag.com/reviews/epson-workforce-pro-wf-c5290-network-color-printer"
"78","Epson WorkForce Pro WF-C5210 Network Color Printer Review","By William Harrel","The Epson WorkForce Pro WF-C5210 Network Color Printer is a feature-rich laser alternative that produces quality output for small- to medium-size offices.","https://www.pcmag.com/reviews/epson-workforce-pro-wf-c5210-network-color-printer"
"79","Canon Selphy CP1300 Wireless Compact Photo Printer Review","By Tony Hoffman","Canon's Selphy CP1300 Wireless Compact Photo Printer ups the screen size of its winning predecessor while retaining the good print quality, competitive print cost, and range of connectivity.","https://www.pcmag.com/reviews/canon-selphy-cp1300-wireless-compact-photo-printer"
"80","Canon Pixma TR4520 Wireless Printer Review","By William Harrel","The Canon Pixma TR4520 inkjet all-in-one delivers exceptional output and is packed with useful features including Amazon Alexa voice support, making it a solid addition to low-volume home offices.","https://www.pcmag.com/reviews/canon-pixma-tr4520-wireless-printer"
"81","Brother MFC-J6945DW INKvestment Tank Color Inkjet All-In-One Printer Review","By William Harrel","The Brother MFC-J6945DW is a wide-format color inkjet all-in-one printer that prints well and is feature-packed and inexpensive to use, making it an exceptional value for small offices.","https://www.pcmag.com/reviews/brother-mfc-j6945dw-inkvestment-tank-color-inkjet-all-in-one-printer"
"82","Canon Pixma TS8220 Wireless Inkjet All-In-One Printer Review","By William Harrel","The Canon Pixma TS8220 combines the company's superb six-ink photo and graphics output with new hands-free printing and several arts and crafts features, making it a great-value all-in-one-printer for low-volume offices.","https://www.pcmag.com/reviews/canon-pixma-ts8220-wireless-inkjet-all-in-one-printer"
"83","Epson WorkForce Pro WF-C5790 Network Multifunction Color Printer Review","By William Harrel","The Epson WorkForce Pro WF-C5790 is an inkjet all-in-one printer that's packed with features, prints well, and balances purchase price and running costs fairly, making it a strong color laser AIO competitor.","https://www.pcmag.com/reviews/epson-workforce-pro-wf-c5790-network-multifunction-color-printer"
"84","Canon Pixma TS9521C Wireless Crafter's All-In-One Printer Review","By William Harrel","The Canon Pixma TS9521C combines superb five-ink photo and graphics output, smart home voice support, and a host of scrapbook-friendly features, making it a great wide-format AIO printer for crafters.","https://www.pcmag.com/reviews/canon-pixma-ts9521c-wireless-crafters-all-in-one-printer"
"85","Canon Pixma TS9520 Wireless Inkjet All-In-One Printer Review","By William Harrel","The Canon Pixma TS9520 is a wide-format printer that's rich in features and connectivity, and produces excellent output for low-volume homes and offices.","https://www.pcmag.com/reviews/canon-pixma-ts9520-wireless-inkjet-all-in-one-printer"
"86","Brother RuggedJet 2"" Portable Printer (RJ-2050) Review","By William Harrel","The Brother RJ-2050 is a rugged, portable label and receipt printer designed for heavy-duty, on-demand use.","https://www.pcmag.com/reviews/brother-ruggedjet-2-portable-printer-rj-2050"
"87","Lifeprint Harry Potter Magic Photo and Video Printer Review","By Tony Hoffman","The Lifeprint Harry Potter Magic Photo and Video Printer will delight fans of the series by making printed photos seemingly come alive on their smartphones. We just wish its actual output quality were a bit better.","https://www.pcmag.com/reviews/lifeprint-harry-potter-magic-photo-and-video-printer"
"88","Epson WorkForce Pro WF-C8190 A3 Color Printer With PCL/PostScript Review","By William Harrel","The high-volume Epson WorkForce Pro WF-C8190 is a competitively priced wide-format printer that's fast and prints excellent-looking documents up to super-tabloid size.","https://www.pcmag.com/reviews/epson-workforce-pro-wf-c8190-a3-color-printer-with-pclpostscript"
"89","How to Color Calibrate Your Monitor to Your Printer","By William Harrel","If you're printing color photos and graphics, you'll need to make sure your printer and monitor are in sync. Here's how to calibrate them both.","https://www.pcmag.com/how-to/how-to-color-calibrate-your-monitor-to-your-printer"
"90","Brother MFC-J995DW INKvestment Tank All-in-One Printer Review","By William Harrel","The Brother MFC-J995DW is an entry-level office-oriented AIO with admirable output quality and, as a bulk-ink model, it costs a lot less to use than many of its competitors.","https://www.pcmag.com/reviews/brother-mfc-j995dw-inkvestment-tank-all-in-one-printer"
"91","Canon Pixma G4210 MegaTank Wireless All-in-One Printer Review","By William Harrel","The Canon Pixma G4210 is a small-office bulk-ink AIO printer that produces quality output at a super-low price.","https://www.pcmag.com/reviews/canon-pixma-g4210-megatank-wireless-all-in-one-printer"
"92","HP Offers $10K Reward for Hacking its Printers","By Matthew Humphries","The number of print vulnerabilities has increased substantially this year, so HP is reacting by setting up the printer industry's first bug bounty program. Finding a vulnerability in a HP printer can earn security researchers up to $10,000.","https://www.pcmag.com/news/hp-offers-10k-reward-for-hacking-its-printers"
"93","Business Choice Awards 2018: Printers ","By Eric Griffith","Only one manufacturer gets all the kudos from PCMag readers year after year as the best office printer maker. Read on to find out who it is. ","https://www.pcmag.com/news/business-choice-awards-2018-printers"
"94","Readers' Choice Awards 2018: Printers","By Ben Gottesman","Paperless office? Ha, we all know you like to print out documents and pictures. If you're still in the market for a printer, look no further than the recommendations from PCMag's readership.","https://www.pcmag.com/news/readers-choice-awards-2018-printers"
"95","Epson Expression Premium XP-6000 Small-in-One Printer Review","By William Harrel","The Epson Expression Premium XP-6000 Small-in-One is a basic but capable photo-centric all-in-one inkjet printer that delivers excellent print and copy quality, but its high ink costs relegate it to light-duty use.","https://www.pcmag.com/reviews/epson-expression-premium-xp-6000-small-in-one-printer"
"96","Epson Expression Home XP-5100 Small-in-One Printer Review","By William Harrel","The Epson Expression Home XP-5100 is a small but capable photo-centric all-in-one inkjet that delivers good print and copy quality for a competitive purchase price, but its high running costs peg it for light-duty use.","https://www.pcmag.com/reviews/epson-expression-home-xp-5100-small-in-one-printer"
"97","Epson WorkForce WF-2860 All-in-One Printer Review","By William Harrel","The Epson WorkForce WF-2860 All-in-One Printer prints reasonably fast and exceptionally well for its price, but high running costs diminish its overall value.
","https://www.pcmag.com/reviews/epson-workforce-wf-2860-all-in-one-printer"
"98","Canon IVY Mini Photo Printer Review","By William Harrel","With on-par output quality, print speeds, and running costs for a ZINK-based photo printer, the Canon IVY Mini is a solid portable model that churns out 2-by-3-inch prints.","https://www.pcmag.com/reviews/canon-ivy-mini-photo-printer"
