"","ID","Név","Link","Kategória","Kivitel","Üzemanyag","Újkori.ára.(mHUF)","Hengerek.száma","Maximális.teljesítmény.(kW)","Maximális.teljesítmény.(LE)","Végsebesség.(km/h)","Gyorsulás.(s)","CO2.kibocsátás.(g/km)","Vegyes.fogyasztás.(l)","Össztömeg.(kg)","Szélesség.(mm)","Hosszúság.(mm)","Magasság.(mm)","Ajtók.száma","Szállítható.személyek.száma"
"11",11,"ALFA ROMEO Alfa 145 1.8 TS 16V (1997-1998)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.8_ts_16v-83","Alsó középkategória","Ferdehátú","Benzin",NA,4,103,140,NA,NA,NA,NA,1720,1712,4093,1427,3,5
"12",12,"ALFA ROMEO Alfa 145 1.8 TS 16V L (1997-1998)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.8_ts_16v_l-84","Alsó középkategória","Ferdehátú","Benzin",NA,4,103,140,NA,NA,NA,NA,1720,1712,4093,1427,3,5
"13",13,"ALFA ROMEO Alfa 145 1.8 TS 16V (1998-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.8_ts_16v-85","Alsó középkategória","Ferdehátú","Benzin",NA,4,106,144,NA,NA,NA,NA,1720,1712,4093,1427,3,5
"14",14,"ALFA ROMEO Alfa 145 1.8 TS 16V L (1998-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.8_ts_16v_l-86","Alsó középkategória","Ferdehátú","Benzin",NA,4,106,144,NA,NA,NA,NA,1720,1712,4093,1427,3,5
"15",15,"ALFA ROMEO Alfa 145 2.0 TS 16V QV (1995-1998)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_2.0_ts_16v_qv-87","Alsó középkategória","Ferdehátú","Benzin",4.56,4,110,150,210,8.4,NA,NA,1765,1712,4093,1427,3,5
"16",16,"ALFA ROMEO Alfa 145 2.0 TS 16V QV (1998-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_2.0_ts_16v_qv-88","Alsó középkategória","Ferdehátú","Benzin",4.795,4,114,155,211,8.3,210,8.81,1765,1712,4093,1427,3,5
"17",17,"ALFA ROMEO Alfa 145 2.0 TD STD (1996-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_2.0_td_std-89","Alsó középkategória","Ferdehátú","Dízel",3.795,4,66,90,178,12,170,6.41,1730,1712,4093,1427,3,5
"18",18,"ALFA ROMEO Alfa 145 1.4 T.Spark (1999-2001)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.4_t.spark-90","Alsó középkategória","Ferdehátú","Benzin",3.055,4,76,103,185,11.2,189,7.91,1655,1712,4061,1431,3,5
"19",19,"ALFA ROMEO Alfa 145 1.6 T.Spark L (1999-2001)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.6_t.spark_l-91","Alsó középkategória","Ferdehátú","Benzin",3.355,4,88,120,195,10.2,196,8.21,1685,1712,4061,1431,3,5
"20",20,"ALFA ROMEO Alfa 145 1.6 T.Spark Special Edition (2000.)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.6_t.spark_special_edition-92","Alsó középkategória","Ferdehátú","Benzin",3.495,4,88,120,195,10.2,196,8.21,1685,1712,4061,1431,3,5
"21",21,"ALFA ROMEO Alfa 145 2.0 Quadrifoglio (1999-2000)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_2.0_quadrifoglio-93","Alsó középkategória","Ferdehátú","Benzin",5.195,4,114,155,211,8.3,208,8.71,1760,1712,4061,1431,3,5
"22",22,"ALFA ROMEO Alfa 145 1.9 JTD (1999-2000)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.9_jtd-94","Alsó középkategória","Ferdehátú","Dízel",4.28,4,77,105,185,10.4,152,5.71,1730,1712,4061,1431,3,5
"23",23,"ALFA ROMEO Alfa 145 1.9 JTD L (1999.)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_145_1.9_jtd_l-95","Alsó középkategória","Ferdehátú","Dízel",NA,4,77,105,185,10.4,152,5.71,1730,1712,4093,1427,3,5
"24",24,"ALFA ROMEO Alfa 146 1.4 TS STD. (1997-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_1.4_ts_std.-96","Alsó középkategória","Ferdehátú","Benzin",2.995,4,76,103,187,11.5,189,7.91,1680,1712,4257,1425,5,5
"25",25,"ALFA ROMEO Alfa 146 1.6 (1995-1997)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_1.6-97","Alsó középkategória","Ferdehátú","Benzin",2.65,4,76,103,187,11.5,NA,NA,1705,1712,4257,1425,5,5
"26",26,"ALFA ROMEO Alfa 146 1.6 L (1996-1997)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_1.6_l-98","Alsó középkategória","Ferdehátú","Benzin",2.78,4,76,103,187,11.5,NA,NA,1705,1712,4257,1425,5,5
"27",27,"ALFA ROMEO Alfa 146 1.6 TS (1997-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_1.6_ts-99","Alsó középkategória","Ferdehátú","Benzin",3.295,4,88,120,197,10.5,198,8.31,1730,1712,4257,1425,5,5
"28",28,"ALFA ROMEO Alfa 146 1.6 TS L (1997-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_1.6_ts_l-100","Alsó középkategória","Ferdehátú","Benzin",NA,4,88,120,197,10.5,198,8.31,1730,1712,4257,1425,5,5
"29",29,"ALFA ROMEO Alfa 146 1.8 TS L (1997-1998)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_1.8_ts_l-101","Alsó középkategória","Ferdehátú","Benzin",NA,4,103,140,NA,NA,NA,NA,1745,1712,4257,1425,5,5
"30",30,"ALFA ROMEO Alfa 146 2.0 ti (1996-1998)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_2.0_ti-102","Alsó középkategória","Ferdehátú","Benzin",4.76,4,110,150,212,8.5,208,8.71,1800,1712,4257,1425,5,5
"31",31,"ALFA ROMEO Alfa 146 1.8 TS L (1998.)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_1.8_ts_l-103","Alsó középkategória","Ferdehátú","Benzin",NA,4,106,144,NA,NA,NA,NA,1720,1712,4257,1425,5,5
"32",32,"ALFA ROMEO Alfa 146 2.0 ti (1998-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_2.0_ti-104","Alsó középkategória","Ferdehátú","Benzin",4.975,4,114,155,216,8.4,210,8.81,1800,1712,4257,1425,5,5
"33",33,"ALFA ROMEO Alfa 146 2.0 TD STD. (1995-1999)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_2.0_td_std.-105","Alsó középkategória","Ferdehátú","Dízel",3.995,4,66,90,179,12,170,6.41,1765,1712,4257,1425,5,5
"34",34,"ALFA ROMEO Alfa 146 1.4 T.Spark (1999-2001)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_1.4_t.spark-106","Alsó középkategória","Ferdehátú","Benzin",3.275,4,76,103,187,11.5,189,7.91,1680,1712,4235,1426,5,5
"35",35,"ALFA ROMEO Alfa 146 1.4 T.Spark L (1999-2000)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_1.4_t.spark_l-107","Alsó középkategória","Ferdehátú","Benzin",NA,4,76,103,187,11.5,189,7.91,1680,1712,4257,1425,5,5
"36",36,"ALFA ROMEO Alfa 146 1.6 T.Spark L (1999-2001)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_1.6_t.spark_l-108","Alsó középkategória","Ferdehátú","Benzin",3.575,4,88,120,197,10.5,198,8.31,1710,1712,4235,1426,5,5
"37",37,"ALFA ROMEO Alfa 146 1.6 T.Spark Special Edition (2000.)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_1.6_t.spark_special_edition-109","Alsó középkategória","Ferdehátú","Benzin",3.695,4,88,120,197,10.5,198,8.31,1710,1712,4235,1426,5,5
"38",38,"ALFA ROMEO Alfa 146 2.0 ti (1999-2000)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_2.0_ti-110","Alsó középkategória","Ferdehátú","Benzin",5.425,4,114,155,216,8.4,208,8.71,1795,1712,4235,1426,5,5
"39",39,"ALFA ROMEO Alfa 146 1.9 JTD (1999-2000)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_146_1.9_jtd-111","Alsó középkategória","Ferdehátú","Dízel",4.495,4,77,105,187,10.5,152,5.71,1765,1712,4235,1426,5,5
"40",40,"ALFA ROMEO Alfa 147 1.6 T. Spark ECO Impression (2003-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_eco_impression-112","Alsó középkategória","Ferdehátú","Benzin",4.3,4,77,105,185,11.3,194,8.11,1710,1729,4170,1442,3,5
"41",41,"ALFA ROMEO Alfa 147 1.6 T. Spark ECO Impression (2003-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_eco_impression-113","Alsó középkategória","Ferdehátú","Benzin",4.48,4,77,105,185,11.3,194,8.11,1730,1729,4170,1442,5,5
"42",42,"ALFA ROMEO Alfa 147 1.6 T. Spark ECO Progression (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_eco_progression-114","Alsó középkategória","Ferdehátú","Benzin",4.59,4,77,105,185,11.3,194,8.11,1710,1729,4170,1442,3,5
"43",43,"ALFA ROMEO Alfa 147 1.6 T. Spark ECO Progression (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_eco_progression-115","Alsó középkategória","Ferdehátú","Benzin",4.77,4,77,105,185,11.3,194,8.11,1730,1729,4170,1442,5,5
"44",44,"ALFA ROMEO Alfa 147 1.6 T. Spark ECO Distinctive (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_eco_distinctive-116","Alsó középkategória","Ferdehátú","Benzin",4.89,4,77,105,185,11.3,194,8.11,1710,1729,4170,1442,3,5
"45",45,"ALFA ROMEO Alfa 147 1.6 T. Spark ECO Distinctive (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_eco_distinctive-117","Alsó középkategória","Ferdehátú","Benzin",5.07,4,77,105,185,11.3,194,8.11,1730,1729,4170,1442,5,5
"46",46,"ALFA ROMEO Alfa 147 1.6 T. Spark Progression (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_progression-118","Alsó középkategória","Ferdehátú","Benzin",4.8,4,88,120,195,10.6,196,8.21,1720,1729,4170,1442,3,5
"47",47,"ALFA ROMEO Alfa 147 1.6 T. Spark Progression (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_progression-119","Alsó középkategória","Ferdehátú","Benzin",4.98,4,88,120,195,10.6,196,8.21,1740,1729,4170,1442,5,5
"48",48,"ALFA ROMEO Alfa 147 1.6 T. Spark Distinctive (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_distinctive-120","Alsó középkategória","Ferdehátú","Benzin",5.1,4,88,120,195,10.6,196,8.21,1720,1729,4170,1442,3,5
"49",49,"ALFA ROMEO Alfa 147 1.6 T. Spark Distinctive (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_distinctive-121","Alsó középkategória","Ferdehátú","Benzin",5.28,4,88,120,195,10.6,196,8.21,1740,1729,4170,1442,5,5
"50",50,"ALFA ROMEO Alfa 147 2.0 T. Spark Distinctive (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_2.0_t._spark_distinctive-122","Alsó középkategória","Ferdehátú","Benzin",5.85,4,110,150,208,9.3,213,8.91,1770,1729,4170,1441,3,5
"51",51,"ALFA ROMEO Alfa 147 2.0 T. Spark Selespeed (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_2.0_t._spark_selespeed-123","Alsó középkategória","Ferdehátú","Benzin",NA,4,110,150,208,9.3,213,8.91,1770,1729,4170,1441,3,5
"52",52,"ALFA ROMEO Alfa 147 2.0 T. Spark Distinctive Selespeed (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_2.0_t._spark_distinctive_selespeed-124","Alsó középkategória","Ferdehátú","Benzin",6.25,4,110,150,208,9.3,213,8.91,1770,1729,4170,1441,3,5
"53",53,"ALFA ROMEO Alfa 147 2.0 T. Spark Distinctive (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_2.0_t._spark_distinctive-125","Alsó középkategória","Ferdehátú","Benzin",6.03,4,110,150,208,9.3,213,8.91,1790,1729,4170,1441,5,5
"54",54,"ALFA ROMEO Alfa 147 2.0 T. Spark Selespeed (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_2.0_t._spark_selespeed-126","Alsó középkategória","Ferdehátú","Benzin",NA,4,110,150,208,9.3,213,8.91,1790,1729,4170,1441,5,5
"55",55,"ALFA ROMEO Alfa 147 2.0 T. Spark Distinctive Selespeed (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_2.0_t._spark_distinctive_selespeed-127","Alsó középkategória","Ferdehátú","Benzin",6.43,4,110,150,208,9.3,213,8.91,1790,1729,4170,1441,5,5
"56",56,"ALFA ROMEO Alfa 147 3.2 GTA (2003-2007)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_3.2_gta-128","Alsó középkategória","Ferdehátú","Benzin",11,6,184,250,246,6.3,289,12.11,1880,1729,4170,1441,3,5
"57",57,"ALFA ROMEO Alfa 147 3.2 GTA Selespeed (2004-2007)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_3.2_gta_selespeed-129","Alsó középkategória","Ferdehátú","Benzin",NA,6,184,250,NA,NA,NA,NA,1880,1729,4170,1441,3,5
"58",58,"ALFA ROMEO Alfa 147 1.9 JTD Impression (2003-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_impression-130","Alsó középkategória","Ferdehátú","Dízel",5.095,4,74,101,183,12.1,154,5.81,1790,1729,4170,1442,3,5
"59",59,"ALFA ROMEO Alfa 147 1.9 JTD Impression (2003-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_impression-131","Alsó középkategória","Ferdehátú","Dízel",5.275,4,74,101,183,12.1,154,5.81,1810,1729,4170,1442,5,5
"60",60,"ALFA ROMEO Alfa 147 1.9 JTD Progression (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_progression-132","Alsó középkategória","Ferdehátú","Dízel",5.56,4,85,116,189,10.5,152,5.71,1790,1729,4170,1442,3,5
"61",61,"ALFA ROMEO Alfa 147 1.9 JTD Progression (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_progression-133","Alsó középkategória","Ferdehátú","Dízel",5.74,4,85,116,189,10.5,152,5.71,1810,1729,4170,1442,5,5
"62",62,"ALFA ROMEO Alfa 147 1.9 JTD Distinctive (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_distinctive-134","Alsó középkategória","Ferdehátú","Dízel",5.86,4,85,116,189,10.5,152,5.71,1790,1729,4170,1442,3,5
"63",63,"ALFA ROMEO Alfa 147 1.9 JTD Distinctive (2001-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_distinctive-135","Alsó középkategória","Ferdehátú","Dízel",6.04,4,85,116,189,10.5,152,5.71,1810,1729,4170,1442,5,5
"64",64,"ALFA ROMEO Alfa 147 1.9 JTD 16V Progression (2003-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_16v_progression-136","Alsó középkategória","Ferdehátú","Dízel",5.89,4,103,140,206,9.1,157,5.91,1810,1729,4170,1442,3,5
"65",65,"ALFA ROMEO Alfa 147 1.9 JTD 16V Progression (2003-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_16v_progression-137","Alsó középkategória","Ferdehátú","Dízel",6.07,4,103,140,206,9.1,157,5.91,1830,1729,4170,1442,5,5
"66",66,"ALFA ROMEO Alfa 147 1.9 JTD 16V Distinctive (2003-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_16v_distinctive-138","Alsó középkategória","Ferdehátú","Dízel",6.19,4,103,140,206,9.1,157,5.91,1810,1729,4170,1442,3,5
"67",67,"ALFA ROMEO Alfa 147 1.9 JTD 16V Distinctive (2003-2005)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_16v_distinctive-139","Alsó középkategória","Ferdehátú","Dízel",6.37,4,103,140,206,9.1,157,5.91,1830,1729,4170,1442,5,5
"68",68,"ALFA ROMEO Alfa 147 1.6 T. Spark ECO Impression (2005-2008)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_eco_impression-140","Alsó középkategória","Ferdehátú","Benzin",4.56,4,77,105,185,11.3,194,8.11,1710,1729,4223,1442,3,5
"69",69,"ALFA ROMEO Alfa 147 1.6 T. Spark ECO Impression (2005-2010)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_eco_impression-141","Alsó középkategória","Ferdehátú","Benzin",5.085,4,77,105,185,11.3,194,8.11,1730,1729,4223,1442,5,5
"70",70,"ALFA ROMEO Alfa 147 1.6 T. Spark ECO Progression (2005-2008)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_eco_progression-142","Alsó középkategória","Ferdehátú","Benzin",4.76,4,77,105,185,11.3,194,8.11,1710,1729,4223,1442,3,5
"71",71,"ALFA ROMEO Alfa 147 1.6 T. Spark ECO Progression (2005-2008)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_eco_progression-143","Alsó középkategória","Ferdehátú","Benzin",4.94,4,77,105,185,11.3,194,8.11,1730,1729,4223,1442,5,5
"72",72,"ALFA ROMEO Alfa 147 1.6 T. Spark ECO Distinctive (2005-2008)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_eco_distinctive-144","Alsó középkategória","Ferdehátú","Benzin",5.11,4,77,105,185,11.3,194,8.11,1710,1729,4223,1442,3,5
"73",73,"ALFA ROMEO Alfa 147 1.6 T. Spark ECO Distinctive (2005-2008)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_eco_distinctive-145","Alsó középkategória","Ferdehátú","Benzin",5.29,4,77,105,185,11.3,194,8.11,1730,1729,4223,1442,5,5
"74",74,"ALFA ROMEO Alfa 147 1.6 T. Spark Progression (2005-2006)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_progression-146","Alsó középkategória","Ferdehátú","Benzin",4.81,4,88,120,195,10.6,196,8.21,1720,1729,4223,1442,3,5
"75",75,"ALFA ROMEO Alfa 147 1.6 T. Spark Progression (2005-2006)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_progression-147","Alsó középkategória","Ferdehátú","Benzin",4.99,4,88,120,195,10.6,196,8.21,1740,1729,4223,1442,5,5
"76",76,"ALFA ROMEO Alfa 147 1.6 T. Spark Distinctive (2005-2008)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_distinctive-148","Alsó középkategória","Ferdehátú","Benzin",5.29,4,88,120,195,10.6,196,8.21,1720,1729,4223,1442,3,5
"77",77,"ALFA ROMEO Alfa 147 1.6 T. Spark Distinctive (2005-2010)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t._spark_distinctive-149","Alsó középkategória","Ferdehátú","Benzin",5.68,4,88,120,195,10.6,196,8.21,1740,1729,4223,1442,5,5
"78",78,"ALFA ROMEO Alfa 147 1.6 T.S. Black Line (2006-2008)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t.s._black_line-150","Alsó középkategória","Ferdehátú","Benzin",5.49,4,88,120,195,10.6,196,8.21,1720,1729,4223,1442,3,5
"79",79,"ALFA ROMEO Alfa 147 1.6 T.S. Black Line (2006-2010)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t.s._black_line-151","Alsó középkategória","Ferdehátú","Benzin",5.89,4,88,120,195,10.6,196,8.21,1740,1729,4223,1442,5,5
"80",80,"ALFA ROMEO Alfa 147 1.6 T.S. Collezione (2006-2008)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t.s._collezione-152","Alsó középkategória","Ferdehátú","Benzin",5.24,4,88,120,195,10.6,196,8.21,1720,1729,4223,1442,3,5
"81",81,"ALFA ROMEO Alfa 147 1.6 T.S. Collezione (2006-2008)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.6_t.s._collezione-153","Alsó középkategória","Ferdehátú","Benzin",5.42,4,88,120,195,10.6,196,8.21,1740,1729,4223,1442,5,5
"82",82,"ALFA ROMEO Alfa 147 2.0 T. Spark Distinctive (2005-2008)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_2.0_t._spark_distinctive-154","Alsó középkategória","Ferdehátú","Benzin",6.17,4,110,150,208,9.3,213,8.91,1770,1729,4223,1442,3,5
"83",83,"ALFA ROMEO Alfa 147 2.0 T. Spark Distinctive Selespeed (2005-2008)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_2.0_t._spark_distinctive_selespeed-155","Alsó középkategória","Ferdehátú","Benzin",6.57,4,110,150,208,9.3,213,8.91,1770,1729,4223,1442,3,5
"84",84,"ALFA ROMEO Alfa 147 2.0 T. Spark Distinctive (2005-2010)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_2.0_t._spark_distinctive-156","Alsó középkategória","Ferdehátú","Benzin",6.575,4,110,150,208,9.3,213,8.91,1770,1729,4223,1442,5,5
"85",85,"ALFA ROMEO Alfa 147 2.0 T. Spark Distinctive Selespeed (2005-2010)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_2.0_t._spark_distinctive_selespeed-157","Alsó középkategória","Ferdehátú","Benzin",6.99,4,110,150,208,9.3,213,8.91,1790,1729,4223,1442,5,5
"86",86,"ALFA ROMEO Alfa 147 1.9 JTD Impression (2005.)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_impression-158","Alsó középkategória","Ferdehátú","Dízel",5.3,4,74,101,183,12.1,154,5.81,1790,1729,4223,1442,3,5
"87",87,"ALFA ROMEO Alfa 147 1.9 JTD Impression (2005.)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_impression-159","Alsó középkategória","Ferdehátú","Dízel",5.51,4,74,101,183,12.1,154,5.81,1810,1729,4223,1442,5,5
"88",88,"ALFA ROMEO Alfa 147 1.9 JTD Progression (2005.)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_progression-160","Alsó középkategória","Ferdehátú","Dízel",5.7,4,85,116,189,10.5,152,5.71,1790,1729,4223,1442,3,5
"89",89,"ALFA ROMEO Alfa 147 1.9 JTD Progression (2005.)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_progression-161","Alsó középkategória","Ferdehátú","Dízel",5.91,4,85,116,189,10.5,152,5.71,1810,1729,4223,1442,5,5
"90",90,"ALFA ROMEO Alfa 147 1.9 JTD Distinctive (2005.)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_distinctive-162","Alsó középkategória","Ferdehátú","Dízel",6,4,85,116,189,10.5,152,5.71,1790,1729,4223,1442,3,5
"91",91,"ALFA ROMEO Alfa 147 1.9 JTD Distinctive (2005.)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_distinctive-163","Alsó középkategória","Ferdehátú","Dízel",6.21,4,85,116,189,10.5,152,5.71,1810,1729,4223,1442,5,5
"92",92,"ALFA ROMEO Alfa 147 1.9 JTD 8V Impression (2009-2010)","https://katalogus.hasznaltauto.hu/alfa_romeo/alfa_147_1.9_jtd_8v_impression-164","Alsó középkategória","Ferdehátú","Dízel",6.115,4,88,120,NA,NA,207,7.81,1810,1729,4223,1442,5,5
